AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,INCOME_DESC_REDUCED,MEAN_AGE,MEAN_INCOME
45-54,A,125-149K,Homeowner,1 Adult No Kids,1,0,119,100-149K,49.5,137.0
45-54,A,25-34K,Homeowner,2 Adults Kids,3,1,121,25-49K,49.5,29.5
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,0,123,25-49K,49.5,42.0
45-54,A,25-34K,Homeowner,1 Adult No Kids,1,0,127,25-49K,49.5,29.5
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,131,50-99K,49.5,62.0
45-54,A,Under 15K,Homeowner,1 Adult No Kids,2,0,133,<25K,49.5,15.0
55-64,A,25-34K,Homeowner,1 Adult No Kids,2,0,134,25-49K,59.5,29.5
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,136,50-99K,49.5,62.0
35-44,B,75-99K,Homeowner,1 Adult No Kids,1,0,139,50-99K,39.5,87.0
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,0,149,25-49K,49.5,42.0
35-44,B,50-74K,Homeowner,2 Adults Kids,3,1,155,50-99K,39.5,62.0
19-24,A,15-24K,Homeowner,2 Adults No Kids,2,0,157,<25K,21.5,19.5
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,158,50-99K,49.5,62.0
45-54,A,Under 15K,Homeowner,2 Adults No Kids,2,0,159,<25K,49.5,15.0
19-24,A,75-99K,Homeowner,2 Adults Kids,3,1,161,50-99K,21.5,87.0
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,0,164,25-49K,49.5,42.0
55-64,A,35-49K,Homeowner,2 Adults No Kids,2,0,165,25-49K,59.5,42.0
25-34,A,50-74K,Homeowner,2 Adults Kids,3,1,166,50-99K,29.5,62.0
25-34,A,100-124K,Homeowner,2 Adults Kids,4,2,170,100-149K,29.5,112.0
25-34,A,25-34K,Homeowner,1 Adult Kids,5,3,178,25-49K,29.5,29.5
45-54,A,25-34K,Homeowner,1 Adult No Kids,1,0,184,25-49K,49.5,29.5
45-54,A,35-49K,Homeowner,1 Adult No Kids,2,0,192,25-49K,49.5,42.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,193,50-99K,49.5,87.0
35-44,A,Under 15K,Homeowner,2 Adults Kids,3,1,198,<25K,39.5,15.0
45-54,A,15-24K,Homeowner,2 Adults Kids,5,3,201,<25K,49.5,19.5
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,208,50-99K,49.5,62.0
45-54,A,25-34K,Homeowner,2 Adults Kids,3,1,209,25-49K,49.5,29.5
65+,A,35-49K,Homeowner,1 Adult No Kids,2,0,211,25-49K,65.0,42.0
35-44,A,Under 15K,Homeowner,1 Adult No Kids,1,0,212,<25K,39.5,15.0
55-64,B,Under 15K,Homeowner,2 Adults No Kids,2,0,214,<25K,59.5,15.0
35-44,B,50-74K,Homeowner,1 Adult No Kids,1,0,216,50-99K,39.5,62.0
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,0,218,<25K,49.5,19.5
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,0,219,150K+,59.5,162.0
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,0,220,25-49K,49.5,42.0
65+,B,15-24K,Homeowner,1 Adult No Kids,1,0,221,<25K,65.0,19.5
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,0,222,25-49K,39.5,42.0
25-34,A,25-34K,Homeowner,1 Adult No Kids,1,0,230,25-49K,29.5,29.5
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,0,232,25-49K,39.5,42.0
35-44,A,250K+,Homeowner,2 Adults Kids,5,3,235,150K+,39.5,250.0
45-54,B,50-74K,Renter,1 Adult No Kids,1,0,239,50-99K,49.5,62.0
45-54,A,75-99K,Homeowner,2 Adults Kids,5,3,242,50-99K,49.5,87.0
65+,A,50-74K,Homeowner,2 Adults No Kids,2,0,243,50-99K,65.0,62.0
35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,248,100-149K,39.5,137.0
35-44,A,Under 15K,Renter,2 Adults Kids,3,1,249,<25K,39.5,15.0
45-54,A,75-99K,Homeowner,1 Adult Kids,4,2,250,50-99K,49.5,87.0
45-54,A,Under 15K,Homeowner,1 Adult No Kids,1,0,253,<25K,49.5,15.0
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,0,256,50-99K,29.5,62.0
25-34,B,25-34K,Homeowner,1 Adult Kids,3,2,257,25-49K,29.5,29.5
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,0,263,25-49K,49.5,42.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,264,50-99K,49.5,87.0
35-44,A,35-49K,Homeowner,1 Adult No Kids,1,0,276,25-49K,39.5,42.0
35-44,B,50-74K,Homeowner,1 Adult No Kids,1,0,281,50-99K,39.5,62.0
45-54,A,35-49K,Homeowner,1 Adult No Kids,1,0,282,25-49K,49.5,42.0
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,0,283,50-99K,29.5,62.0
45-54,B,100-124K,Homeowner,1 Adult No Kids,1,0,289,100-149K,49.5,112.0
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,0,290,25-49K,29.5,42.0
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,294,50-99K,29.5,62.0
55-64,A,Under 15K,Homeowner,1 Adult No Kids,2,0,300,<25K,59.5,15.0
35-44,A,35-49K,Homeowner,2 Adults Kids,4,2,301,25-49K,39.5,42.0
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,302,25-49K,49.5,42.0
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,0,304,50-99K,29.5,62.0
19-24,A,35-49K,Homeowner,2 Adults Kids,4,2,306,25-49K,21.5,42.0
25-34,A,75-99K,Homeowner,1 Adult No Kids,2,0,309,50-99K,29.5,87.0
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,314,50-99K,49.5,87.0
45-54,A,75-99K,Homeowner,1 Adult No Kids,2,0,317,50-99K,49.5,87.0
45-54,B,35-49K,Homeowner,1 Adult Kids,4,3,319,25-49K,49.5,42.0
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,0,321,100-149K,49.5,112.0
45-54,A,50-74K,Homeowner,1 Adult No Kids,1,0,324,50-99K,49.5,62.0
35-44,A,75-99K,Homeowner,2 Adults Kids,4,2,325,50-99K,39.5,87.0
25-34,A,75-99K,Homeowner,1 Adult No Kids,1,0,329,50-99K,29.5,87.0
35-44,A,125-149K,Homeowner,2 Adults Kids,5,3,332,100-149K,39.5,137.0
45-54,A,Under 15K,Homeowner,2 Adults No Kids,2,0,334,<25K,49.5,15.0
65+,A,50-74K,Homeowner,2 Adults No Kids,2,0,346,50-99K,65.0,62.0
45-54,A,50-74K,Homeowner,1 Adult Kids,4,2,350,50-99K,49.5,62.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,351,50-99K,49.5,62.0
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,0,353,150K+,49.5,162.0
25-34,A,35-49K,Homeowner,2 Adults Kids,5,3,354,25-49K,29.5,42.0
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,0,358,50-99K,39.5,62.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,361,50-99K,49.5,62.0
65+,A,50-74K,Homeowner,1 Adult No Kids,1,0,362,50-99K,65.0,62.0
55-64,A,50-74K,Homeowner,2 Adults No Kids,2,0,367,50-99K,59.5,62.0
65+,A,50-74K,Homeowner,2 Adults No Kids,2,0,370,50-99K,65.0,62.0
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,371,50-99K,39.5,87.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,377,50-99K,49.5,62.0
55-64,A,50-74K,Homeowner,1 Adult No Kids,2,0,378,50-99K,59.5,62.0
25-34,B,35-49K,Homeowner,1 Adult Kids,2,1,381,25-49K,29.5,42.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,383,50-99K,49.5,62.0
25-34,A,50-74K,Homeowner,2 Adults Kids,5,3,385,50-99K,29.5,62.0
35-44,B,25-34K,Homeowner,1 Adult No Kids,1,0,386,25-49K,39.5,29.5
25-34,B,50-74K,Homeowner,1 Adult No Kids,1,0,387,50-99K,29.5,62.0
35-44,A,150-174K,Homeowner,1 Adult No Kids,1,0,389,150K+,39.5,162.0
45-54,B,25-34K,Renter,1 Adult No Kids,1,0,390,25-49K,49.5,29.5
65+,B,25-34K,Homeowner,1 Adult No Kids,1,0,391,25-49K,65.0,29.5
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,392,150K+,39.5,250.0
35-44,A,25-34K,Homeowner,1 Adult No Kids,1,0,395,25-49K,39.5,29.5
35-44,A,150-174K,Homeowner,2 Adults Kids,3,1,400,150K+,39.5,162.0
25-34,A,25-34K,Homeowner,2 Adults No Kids,2,0,404,25-49K,29.5,29.5
19-24,B,25-34K,Homeowner,2 Adults No Kids,2,0,409,25-49K,21.5,29.5
55-64,A,35-49K,Homeowner,2 Adults Kids,5,3,410,25-49K,59.5,42.0
35-44,A,Under 15K,Homeowner,2 Adults No Kids,2,0,411,<25K,39.5,15.0
65+,A,15-24K,Homeowner,1 Adult No Kids,2,0,412,<25K,65.0,19.5
45-54,B,100-124K,Homeowner,1 Adult No Kids,1,0,413,100-149K,49.5,112.0
45-54,A,35-49K,Homeowner,1 Adult No Kids,2,0,417,25-49K,49.5,42.0
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,418,25-49K,39.5,42.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,426,50-99K,49.5,62.0
19-24,A,50-74K,Homeowner,2 Adults No Kids,2,0,428,50-99K,21.5,62.0
19-24,A,25-34K,Homeowner,1 Adult No Kids,1,0,432,25-49K,21.5,29.5
35-44,A,15-24K,Homeowner,2 Adults Kids,3,1,434,<25K,39.5,19.5
25-34,A,50-74K,Homeowner,2 Adults Kids,5,3,437,50-99K,29.5,62.0
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,0,438,50-99K,39.5,62.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,441,50-99K,49.5,62.0
25-34,B,15-24K,Homeowner,1 Adult Kids,2,1,442,<25K,29.5,19.5
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,0,443,25-49K,49.5,29.5
25-34,B,Under 15K,Renter,2 Adults No Kids,2,0,451,<25K,29.5,15.0
55-64,A,35-49K,Homeowner,1 Adult No Kids,1,0,454,25-49K,59.5,42.0
19-24,B,50-74K,Homeowner,2 Adults No Kids,2,0,456,50-99K,21.5,62.0
55-64,A,35-49K,Homeowner,1 Adult No Kids,2,0,458,25-49K,59.5,42.0
65+,B,25-34K,Homeowner,1 Adult No Kids,1,0,460,25-49K,65.0,29.5
65+,A,100-124K,Homeowner,1 Adult No Kids,1,0,462,100-149K,65.0,112.0
65+,A,50-74K,Homeowner,2 Adults No Kids,2,0,464,50-99K,65.0,62.0
45-54,A,75-99K,Homeowner,1 Adult No Kids,1,0,469,50-99K,49.5,87.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,473,50-99K,49.5,62.0
45-54,A,35-49K,Homeowner,1 Adult No Kids,1,0,483,25-49K,49.5,42.0
25-34,A,15-24K,Homeowner,2 Adults No Kids,2,0,484,<25K,29.5,19.5
35-44,A,25-34K,Homeowner,1 Adult No Kids,1,0,485,25-49K,39.5,29.5
55-64,A,150-174K,Homeowner,1 Adult No Kids,1,0,489,150K+,59.5,162.0
35-44,A,75-99K,Homeowner,2 Adults Kids,5,3,490,50-99K,39.5,87.0
45-54,A,75-99K,Homeowner,1 Adult No Kids,2,0,491,50-99K,49.5,87.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,492,50-99K,49.5,62.0
55-64,B,50-74K,Homeowner,1 Adult No Kids,1,0,493,50-99K,59.5,62.0
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,510,150K+,39.5,250.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,513,50-99K,49.5,87.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,518,50-99K,49.5,87.0
65+,B,35-49K,Homeowner,1 Adult No Kids,1,0,523,25-49K,65.0,42.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,526,50-99K,49.5,62.0
45-54,A,50-74K,Homeowner,1 Adult No Kids,1,0,527,50-99K,49.5,62.0
45-54,A,35-49K,Homeowner,1 Adult No Kids,1,0,534,25-49K,49.5,42.0
25-34,B,50-74K,Homeowner,1 Adult No Kids,1,0,540,50-99K,29.5,62.0
25-34,A,35-49K,Homeowner,1 Adult No Kids,1,0,542,25-49K,29.5,42.0
35-44,A,35-49K,Homeowner,1 Adult Kids,3,1,543,25-49K,39.5,42.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,546,50-99K,49.5,62.0
35-44,B,75-99K,Homeowner,2 Adults No Kids,2,0,548,50-99K,39.5,87.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,553,50-99K,49.5,87.0
19-24,A,35-49K,Homeowner,2 Adults No Kids,2,0,560,25-49K,21.5,42.0
19-24,A,25-34K,Homeowner,1 Adult No Kids,1,0,567,25-49K,21.5,29.5
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,569,150K+,39.5,250.0
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,574,50-99K,39.5,87.0
35-44,A,50-74K,Homeowner,1 Adult No Kids,1,0,575,50-99K,39.5,62.0
55-64,A,35-49K,Homeowner,1 Adult No Kids,2,0,576,25-49K,59.5,42.0
25-34,A,50-74K,Homeowner,1 Adult No Kids,1,0,578,50-99K,29.5,62.0
45-54,A,125-149K,Homeowner,2 Adults Kids,3,1,582,100-149K,49.5,137.0
35-44,B,15-24K,Homeowner,1 Adult No Kids,1,0,583,<25K,39.5,19.5
19-24,A,35-49K,Renter,2 Adults Kids,3,1,586,25-49K,21.5,42.0
35-44,A,50-74K,Homeowner,2 Adults Kids,5,3,588,50-99K,39.5,62.0
35-44,A,35-49K,Homeowner,1 Adult No Kids,1,0,593,25-49K,39.5,42.0
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,595,25-49K,29.5,42.0
45-54,A,15-24K,Homeowner,1 Adult Kids,3,1,596,<25K,49.5,19.5
19-24,B,Under 15K,Homeowner,1 Adult Kids,2,1,597,<25K,21.5,15.0
35-44,B,25-34K,Homeowner,1 Adult No Kids,1,0,598,25-49K,39.5,29.5
35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,601,100-149K,39.5,112.0
25-34,A,75-99K,Homeowner,2 Adults Kids,4,2,605,50-99K,29.5,87.0
45-54,B,35-49K,Renter,1 Adult No Kids,1,0,606,25-49K,49.5,42.0
45-54,B,125-149K,Homeowner,1 Adult No Kids,1,0,607,100-149K,49.5,137.0
25-34,B,25-34K,Renter,1 Adult Kids,5,3,608,25-49K,29.5,29.5
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,609,50-99K,49.5,62.0
35-44,A,15-24K,Homeowner,2 Adults Kids,4,2,614,<25K,39.5,19.5
45-54,A,35-49K,Homeowner,1 Adult No Kids,1,0,621,25-49K,49.5,42.0
35-44,A,15-24K,Homeowner,1 Adult No Kids,1,0,622,<25K,39.5,19.5
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,623,25-49K,49.5,42.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,624,50-99K,49.5,62.0
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,630,25-49K,39.5,42.0
65+,A,100-124K,Homeowner,2 Adults Kids,3,1,631,100-149K,65.0,112.0
65+,A,75-99K,Homeowner,2 Adults No Kids,2,0,644,50-99K,65.0,87.0
35-44,A,50-74K,Renter,2 Adults Kids,4,2,647,50-99K,39.5,62.0
55-64,A,50-74K,Homeowner,2 Adults No Kids,2,0,660,50-99K,59.5,62.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,661,50-99K,49.5,62.0
55-64,A,35-49K,Homeowner,2 Adults Kids,3,1,670,25-49K,59.5,42.0
35-44,A,35-49K,Homeowner,1 Adult No Kids,1,0,671,25-49K,39.5,42.0
35-44,A,25-34K,Homeowner,2 Adults No Kids,2,0,672,25-49K,39.5,29.5
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,0,675,50-99K,39.5,62.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,680,50-99K,49.5,62.0
65+,A,125-149K,Homeowner,2 Adults No Kids,2,0,682,100-149K,65.0,137.0
35-44,A,Under 15K,Homeowner,1 Adult No Kids,2,0,685,<25K,39.5,15.0
35-44,A,125-149K,Homeowner,2 Adults Kids,3,1,688,100-149K,39.5,137.0
65+,B,15-24K,Homeowner,1 Adult No Kids,1,0,690,<25K,65.0,19.5
65+,A,35-49K,Homeowner,1 Adult No Kids,1,0,692,25-49K,65.0,42.0
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,0,693,<25K,49.5,19.5
35-44,B,35-49K,Homeowner,1 Adult Kids,3,2,695,25-49K,39.5,42.0
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,0,696,50-99K,39.5,62.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,699,50-99K,49.5,62.0
45-54,B,50-74K,Homeowner,2 Adults No Kids,2,0,706,50-99K,49.5,62.0
25-34,A,100-124K,Homeowner,2 Adults Kids,5,3,707,100-149K,29.5,112.0
35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,708,100-149K,39.5,112.0
65+,A,50-74K,Homeowner,2 Adults No Kids,2,0,712,50-99K,65.0,62.0
55-64,A,15-24K,Homeowner,2 Adults Kids,3,1,714,<25K,59.5,19.5
55-64,A,15-24K,Homeowner,2 Adults No Kids,2,0,715,<25K,59.5,19.5
45-54,A,75-99K,Homeowner,2 Adults Kids,5,3,716,50-99K,49.5,87.0
45-54,A,25-34K,Homeowner,2 Adults Kids,5,3,718,25-49K,49.5,29.5
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,0,722,50-99K,39.5,62.0
45-54,A,25-34K,Homeowner,1 Adult No Kids,1,0,725,25-49K,49.5,29.5
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,0,731,25-49K,49.5,42.0
55-64,A,75-99K,Homeowner,2 Adults Kids,4,2,732,50-99K,59.5,87.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,733,50-99K,49.5,87.0
45-54,A,175-199K,Homeowner,1 Adult No Kids,2,0,740,150K+,49.5,187.0
65+,A,50-74K,Homeowner,2 Adults Kids,3,1,741,50-99K,65.0,62.0
35-44,A,15-24K,Renter,1 Adult Kids,4,2,742,<25K,39.5,19.5
45-54,B,Under 15K,Homeowner,2 Adults Kids,3,1,748,<25K,49.5,15.0
35-44,A,75-99K,Renter,1 Adult No Kids,2,0,752,50-99K,39.5,87.0
45-54,A,75-99K,Homeowner,2 Adults Kids,4,2,753,50-99K,49.5,87.0
35-44,B,50-74K,Homeowner,1 Adult No Kids,1,0,755,50-99K,39.5,62.0
25-34,A,125-149K,Homeowner,1 Adult Kids,5,3,761,100-149K,29.5,137.0
35-44,A,125-149K,Renter,1 Adult No Kids,2,0,762,100-149K,39.5,137.0
35-44,A,50-74K,Homeowner,2 Adults Kids,5,3,764,50-99K,39.5,62.0
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,0,766,150K+,49.5,162.0
35-44,A,50-74K,Renter,1 Adult No Kids,2,0,768,50-99K,39.5,62.0
25-34,A,50-74K,Homeowner,2 Adults Kids,5,3,770,50-99K,29.5,62.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,771,50-99K,49.5,62.0
65+,A,125-149K,Homeowner,2 Adults Kids,3,1,779,100-149K,65.0,137.0
45-54,A,100-124K,Homeowner,1 Adult No Kids,2,0,784,100-149K,49.5,112.0
65+,A,75-99K,Homeowner,2 Adults No Kids,2,0,785,50-99K,65.0,87.0
19-24,A,75-99K,Homeowner,2 Adults No Kids,2,0,786,50-99K,21.5,87.0
25-34,B,25-34K,Homeowner,1 Adult No Kids,1,0,787,25-49K,29.5,29.5
25-34,B,Under 15K,Homeowner,1 Adult Kids,2,1,788,<25K,29.5,15.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,790,50-99K,49.5,62.0
25-34,A,75-99K,Homeowner,2 Adults No Kids,2,0,797,50-99K,29.5,87.0
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,0,800,25-49K,29.5,42.0
65+,A,35-49K,Homeowner,2 Adults No Kids,2,0,802,25-49K,65.0,42.0
25-34,A,75-99K,Homeowner,2 Adults No Kids,2,0,803,50-99K,29.5,87.0
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,0,806,50-99K,39.5,87.0
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,808,50-99K,49.5,87.0
25-34,A,50-74K,Homeowner,1 Adult No Kids,1,0,816,50-99K,29.5,62.0
35-44,A,150-174K,Homeowner,2 Adults Kids,3,1,817,150K+,39.5,162.0
35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,823,50-99K,39.5,62.0
45-54,A,175-199K,Homeowner,2 Adults No Kids,2,0,825,150K+,49.5,187.0
45-54,B,50-74K,Homeowner,1 Adult Kids,3,2,831,50-99K,49.5,62.0
35-44,A,75-99K,Homeowner,2 Adults Kids,5,3,840,50-99K,39.5,87.0
45-54,A,200-249K,Homeowner,2 Adults No Kids,2,0,844,150K+,49.5,224.5
19-24,B,50-74K,Homeowner,1 Adult No Kids,1,0,845,50-99K,21.5,62.0
25-34,A,35-49K,Homeowner,2 Adults Kids,4,2,852,25-49K,29.5,42.0
25-34,B,175-199K,Homeowner,1 Adult No Kids,1,0,853,150K+,29.5,187.0
55-64,B,35-49K,Homeowner,1 Adult No Kids,1,0,856,25-49K,59.5,42.0
65+,A,35-49K,Homeowner,1 Adult Kids,3,1,857,25-49K,65.0,42.0
25-34,A,50-74K,Homeowner,1 Adult No Kids,1,0,859,50-99K,29.5,62.0
45-54,B,15-24K,Homeowner,1 Adult No Kids,1,0,863,<25K,49.5,19.5
35-44,A,15-24K,Homeowner,1 Adult No Kids,1,0,864,<25K,39.5,19.5
35-44,A,75-99K,Homeowner,2 Adults Kids,5,3,865,50-99K,39.5,87.0
45-54,B,15-24K,Homeowner,1 Adult Kids,2,1,866,<25K,49.5,19.5
45-54,B,75-99K,Homeowner,1 Adult No Kids,1,0,867,50-99K,49.5,87.0
65+,A,35-49K,Homeowner,2 Adults No Kids,2,0,868,25-49K,65.0,42.0
35-44,A,200-249K,Homeowner,2 Adults Kids,3,1,871,150K+,39.5,224.5
25-34,A,25-34K,Homeowner,2 Adults Kids,3,1,875,25-49K,29.5,29.5
25-34,B,35-49K,Homeowner,1 Adult Kids,3,2,878,25-49K,29.5,42.0
35-44,B,50-74K,Homeowner,2 Adults No Kids,2,0,879,50-99K,39.5,62.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,882,50-99K,49.5,62.0
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,0,883,25-49K,39.5,42.0
35-44,A,100-124K,Homeowner,2 Adults No Kids,2,0,886,100-149K,39.5,112.0
25-34,A,150-174K,Homeowner,2 Adults Kids,3,1,888,150K+,29.5,162.0
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,889,50-99K,29.5,62.0
45-54,A,150-174K,Homeowner,1 Adult No Kids,1,0,895,150K+,49.5,162.0
